x,y,u
5.000000e-01,7.812500e-03,2.454154e-02
5.039062e-01,7.812500e-03,2.453969e-02
5.078125e-01,7.812500e-03,2.453415e-02
5.117188e-01,7.812500e-03,2.452491e-02
5.156250e-01,7.812500e-03,2.451198e-02
5.195312e-01,7.812500e-03,2.449535e-02
5.234375e-01,7.812500e-03,2.447504e-02
5.273438e-01,7.812500e-03,2.445104e-02
5.312500e-01,7.812500e-03,2.442336e-02
5.351562e-01,7.812500e-03,2.439200e-02
5.390625e-01,7.812500e-03,2.435697e-02
5.429688e-01,7.812500e-03,2.431827e-02
5.468750e-01,7.812500e-03,2.427591e-02
5.507812e-01,7.812500e-03,2.422989e-02
5.546875e-01,7.812500e-03,2.418023e-02
5.585938e-01,7.812500e-03,2.412692e-02
5.625000e-01,7.812500e-03,2.406998e-02
5.664062e-01,7.812500e-03,2.400941e-02
5.703125e-01,7.812500e-03,2.394523e-02
5.742188e-01,7.812500e-03,2.387744e-02
5.781250e-01,7.812500e-03,2.380606e-02
5.820312e-01,7.812500e-03,2.373109e-02
5.859375e-01,7.812500e-03,2.365255e-02
5.898438e-01,7.812500e-03,2.357044e-02
5.937500e-01,7.812500e-03,2.348479e-02
5.976562e-01,7.812500e-03,2.339559e-02
6.015625e-01,7.812500e-03,2.330288e-02
6.054688e-01,7.812500e-03,2.320666e-02
6.093750e-01,7.812500e-03,2.310694e-02
6.132812e-01,7.812500e-03,2.300374e-02
6.171875e-01,7.812500e-03,2.289708e-02
6.210938e-01,7.812500e-03,2.278697e-02
6.250000e-01,7.812500e-03,2.267342e-02
6.289062e-01,7.812500e-03,2.255647e-02
6.328125e-01,7.812500e-03,2.243611e-02
6.367188e-01,7.812500e-03,2.231238e-02
6.406250e-01,7.812500e-03,2.218529e-02
6.445312e-01,7.812500e-03,2.205485e-02
6.484375e-01,7.812500e-03,2.192110e-02
6.523438e-01,7.812500e-03,2.178404e-02
6.562500e-01,7.812500e-03,2.164370e-02
6.601562e-01,7.812500e-03,2.150011e-02
6.640625e-01,7.812500e-03,2.135327e-02
6.679688e-01,7.812500e-03,2.120322e-02
6.718750e-01,7.812500e-03,2.104998e-02
6.757812e-01,7.812500e-03,2.089356e-02
6.796875e-01,7.812500e-03,2.073400e-02
6.835938e-01,7.812500e-03,2.057132e-02
6.875000e-01,7.812500e-03,2.040554e-02
6.914062e-01,7.812500e-03,2.023669e-02
6.953125e-01,7.812500e-03,2.006479e-02
6.992188e-01,7.812500e-03,1.988986e-02
7.031250e-01,7.812500e-03,1.971195e-02
7.070312e-01,7.812500e-03,1.953106e-02
7.109375e-01,7.812500e-03,1.934723e-02
